0.000000000000000000e+00,3.701712417602539062e+01,2.372191429138183594e+01,1.062571029663085938e+02,1.226545486450195312e+02
3.333333507180213928e-02,4.173954010009765625e+01,2.421377944946289062e+01,1.214822158813476562e+02,1.234755249023437500e+02
6.666667014360427856e-02,3.884210205078125000e+01,2.338957977294921875e+01,1.376460723876953125e+02,1.238737411499023438e+02
1.000000014901161194e-01,5.807606124877929688e+01,2.207449531555175781e+01,1.562651367187500000e+02,1.199732666015625000e+02
1.333333402872085571e-01,7.088077545166015625e+01,1.932605552673339844e+01,1.714657440185546875e+02,1.227264251708984375e+02
1.666666716337203979e-01,1.468592987060546875e+02,1.852546501159667969e+01,1.864802856445312500e+02,1.110096969604492188e+02
2.000000029802322388e-01,1.088521652221679688e+02,3.446710109710693359e+00,2.061111297607421875e+02,1.266219177246093750e+02
2.333333343267440796e-01,1.293755187988281250e+02,4.655407905578613281e+00,2.365656738281250000e+02,1.265360641479492188e+02
2.666666805744171143e-01,1.486149902343750000e+02,5.356714725494384766e+00,2.681815185546875000e+02,1.266949920654296875e+02
3.000000119209289551e-01,1.773188323974609375e+02,2.748555660247802734e+00,3.000632629394531250e+02,1.275563278198242188e+02
3.333333432674407959e-01,nan,nan,nan,nan
3.666666746139526367e-01,nan,nan,nan,nan
4.000000059604644775e-01,2.694280090332031250e+02,6.912834644317626953e-01,4.217912597656250000e+02,1.274010162353515625e+02
4.333333373069763184e-01,3.290102539062500000e+02,4.505748271942138672e+00,4.512236022949218750e+02,1.263776931762695312e+02
4.666666686534881592e-01,3.883239746093750000e+02,3.345329046249389648e+00,4.939214172363281250e+02,1.268309631347656250e+02
5.000000000000000000e-01,4.309588012695312500e+02,7.656162738800048828e+00,5.442606201171875000e+02,1.260595092773437500e+02
5.333333611488342285e-01,4.527226562500000000e+02,1.993430137634277344e+01,5.764693603515625000e+02,1.250147171020507812e+02
5.666666626930236816e-01,4.832894897460937500e+02,2.154473495483398438e+01,5.909353637695312500e+02,1.259802856445312500e+02
